id,name,youtube_id,spotify_id
0,The Chainsmokers,UCq3Ci-h945sbEYXpVlw7rJg,69GGBxA162lTqCwzJG5jLp
1,blackbear,UCtAPxCyQaMxr61zBYFCqsFQ,2cFrymmkijnjDg9SS92EPM
2,Lil Skies,UCLEyFXOmaIgG6h4_6wqLx7Q,7d3WFRME3vBY2cgoP38RDo
3,Lil Pump,UC6pjHMC4QXMi4llCCjtDXWg,3wyVrVrFCkukjdVIdirGVY
4,Nate Smith,UC7UNe3j1xMFEX2xr9TG9xAg,4NYMUsIcUUsBHbV9DICa5x
5,Armani White,UCY9MU4TO25x1lec9qBNqsQw,2qAwMsiIjTzlmfAkXKvhVA
6,Jackson Dean,UC0rFBO0NLx8Qz0LEZ-jk3qA,0VkWDV0Bfd0EkXvaKAXUTl
7,Jelly Roll,UCtyzzW6rIQiGP7gfGTXkhDw,19k8AgwwTSxeaxkOuCQEJs
8,Jax,UC60kwqBXG52dCd-_oUphnwA,7DQYAz99eM3Y5PkP9WtUew
9,Jordan Davis,UCLEhUvVUBhH8Q9Mx6Bz3BQA,77kULmXAQ6vWer7IIHdGzI
10,Riley Green,UCSaJ4_YK4luUvkc9lDrwfKg,2QMsj4XJ7ne2hojxt6v5eb
11,Thomas Rhett,UCr7r9JorcxMDOC5ZQ_ZCs3w,6x2LnllRG5uGarZMsD4iO8
12,Lainey Wilson,UCZkeQWzPCGeH707eRS6K6Hg,6tPHARSq45lQ8BSALCfkFC
13,HARDY,UCfaTFCTvP8LVmJ4vZNUIRyQ,5QNm7E7RU2m64l6Gliu8Oy
14,Lana Del Rey,UCqk3CdGN_j8IR9z4uBbVPSg,00FQb4jTyendYWaN8pK0wa
15,Britney Spears,UCgffc95YDBlkGrBAJUHUmXQ,26dSoYclwsYLMAKD3tpOr4
16,Elton John,UCcd0tBtip8YzdTCUw3OVv_Q,3PhoLpVuITZKcymswpck5b
17,Sia,UCN9HPn2fq-NL8M5_kp4RWZQ,5WUlDfRSoLAfcVSX1WnrxN
18,Kane Brown,UC2QTDn02Xobvy_N2bb_Zzlw,3oSJ7TBVCWMDMiYjXNiCKE
19,Brenda Lee,UCPxuu5PdddUZcSR7KonyMWw,4cPHsZM98sKzmV26wlwD2W
20,Cole Swindell,UCot3LeHcLzvWproxs3rNZTQ,1mfDfLsMxYcOOZkzBxvSVW
21,Tems,UCWfi5ELXGAe-DCA6cOP3aNw,687cZJR45JO7jhk1LHIbgq
22,Future,UCSDvKdIQOwTfcyOimSi9oYA,1RyvyyTE3xzB2ZywiAwp0i
23,Mariah Carey,UCurpiDXSkcUbgdMwHNZkrCg,4iHNK0tOyZPYnBU7nGAgpQ
24,Chris Brown,UCcYrdFJF7hmPXRNaWdrko4w,7bXgB6jMjp9ATFy66eO08Z
