id,popularity,followers,genres
1,80,19702709,dance pop
2,79,4810158,pop
3,70,4866091,melodic rap
4,66,7934206,emo rap
5,66,155246,contemporary country
6,70,194379,indie hip hop
7,56,22965,n/a
8,72,1640428,country rap
9,66,366205,gen z singer-songwriter
10,72,758381,contemporary country
11,66,490935,contemporary country
12,73,4298624,contemporary country
13,68,88329,contemporary country
14,73,244061,contemporary country
15,88,19083909,art pop
16,81,11573975,dance pop
17,84,10506746,glam rock
18,85,25014736,australian dance
19,74,4478215,black americana
20,75,288174,adult standards
21,68,1940722,contemporary country
22,76,879265,afro r&b
23,88,12568870,atl hip hop
24,83,8357573,dance pop
25,88,17665346,dance pop
26,71,172077,hyperpop
27,83,413747,reggaeton flow
28,80,20728943,dance pop
29,68,118151,rap
30,84,10877647,colombian pop
31,84,38739575,dance pop
32,79,1459780,nigerian pop
33,69,75849,n/a
34,81,6109814,atl hip hop
35,73,278835,contemporary country
36,79,5198987,escape room
37,78,3511825,gauze pop
38,80,6045305,modern alternative rock
39,88,43792426,modern rock
40,75,4694695,alt z
41,74,672325,bedroom pop
42,86,7490505,viral pop
43,76,589210,pop
44,73,86251,pop
45,79,992763,modern indie pop
46,81,2994448,dance pop
47,82,2014892,alternative hip hop
48,80,4080540,hip hop
49,76,327768,gen z singer-songwriter
50,71,921514,pop
51,83,7751155,dance pop
52,88,25091618,big room
53,84,14636669,piano rock
54,79,3234964,pop
55,83,6610608,big room
56,83,12260350,dance pop
57,79,365012,bedroom pop
58,82,12100837,lgbtq+ hip hop
59,100,63331166,pop
60,97,69409139,canadian hip hop
61,98,60103968,reggaeton
62,90,18796407,chicago rap
63,94,53638903,canadian contemporary r&b
64,89,26656882,chicago rap
65,89,12269543,atl hip hop
66,88,22178463,conscious hip hop
67,84,4418969,contemporary country
68,83,10026323,baton rouge rap
69,90,24685054,pop
70,88,38952533,dfw rap
71,93,12173874,atl hip hop
72,87,23265290,dance pop
73,85,18503918,conscious hip hop
74,91,62477945,detroit hip hop
75,87,39226178,emo rap
76,86,14118555,melodic rap
77,83,8702631,chicago rap
78,90,67944179,canadian pop
79,83,8268714,hip hop
80,88,72794197,art pop
81,89,21459100,rap
82,89,85399109,dance pop
83,90,105774912,pop
84,87,44683674,dance pop
85,81,2714718,deep underground hip hop
86,81,8730067,florida rap
87,82,8157709,melodic rap
88,82,7263206,atl hip hop
89,81,7544936,contemporary country
90,89,51273369,barbadian pop
91,86,32837887,dance pop
92,82,858885,oklahoma country
93,86,26688506,dance pop
94,84,8846828,pop
95,84,22332141,pop
96,85,15650447,pop
97,80,1444670,pluggnb
98,85,3276336,hip hop
99,88,20901166,dance pop
100,83,832387,dance pop
