id,viewcount,subscribercount,videocount
1,13627538765,22400000,156
2,877081995,2610000,63
3,937067147,2760000,100
4,4136183548,17800000,59
5,35721456,76600,96
6,72539104,265000,67
7,8282941,693,25
8,1801254297,2560000,312
9,553814139,2190000,93
10,356986465,264000,59
11,247726759,268000,60
12,1460040985,1460000,158
13,62683355,118000,146
14,325864902,319000,29
15,6043307568,12600000,40
16,7851873376,9960000,68
17,2989707035,3740000,204
18,12595780606,22100000,161
19,2409291800,3410000,63
20,55981563,128000,295
21,611590115,709000,433
22,172618390,539000,33
23,9174123011,12400000,51
24,7084580806,9240000,112
25,14372742757,24300000,23
26,10399609,55900,106
27,220768148,745000,5
28,7285086196,18700000,60
29,144667697,466000,26
30,5976626188,9060000,107
31,12020493935,31900000,188
32,726592882,2440000,87
33,7687040,33100,8
34,211673269,833000,103
35,155917328,221000,147
36,1358192457,2910000,109
37,1471235588,2580000,87
38,1285427407,3150000,173
39,15255858897,29500000,87
40,1244641877,5760000,84
41,56274988,155000,115
42,1019401377,3050000,32
43,187577317,298000,101
44,87985200,157000,44
45,1300646399,4330000,259
46,3650780309,3600000,317
47,1191692088,4200000,102
48,2001144239,3870000,11
49,186958103,438000,21
50,598506975,1550000,228
51,3744158899,9150000,122
52,16517457061,24700000,678
53,7153373423,10200000,83
54,935212928,4080000,203
55,3138687752,6320000,386
56,7635496641,12900000,129
57,79007143,295000,21
58,5924857241,18800000,37
59,27275211507,50400000,203
60,13819107880,27400000,57
61,27203904277,44600000,125
62,5936224322,8860000,11
63,20566403174,30300000,126
64,5213152117,10600000,154
65,7098772441,8180000,76
66,5129166815,11500000,21
67,2479510256,1790000,74
68,11848731083,12000000,567
69,4924197230,13900000,14
70,13171119835,24700000,64
71,4256746290,8290000,140
72,5926647221,11300000,25
73,2920834245,6730000,76
74,24883449535,54400000,140
75,10032003884,38300000,128
76,4156095712,8910000,179
77,3013015943,5420000,59
78,29324786120,70600000,249
79,3505137280,4120000,217
80,12605626311,47100000,50
81,7465419817,16300000,13
82,22800386014,52100000,146
83,28693863043,52700000,258
84,18098774115,35900000,98
85,1145944700,2340000,98
86,5697639916,8220000,421
87,1748229626,4050000,109
88,1171574952,2640000,31
89,3284428944,2910000,68
90,20882543292,40600000,81
91,16343264444,25400000,234
92,309548858,522000,89
93,9711100829,25000000,39
94,1571051317,2970000,9
95,2884504798,10000000,11
96,5726396704,9260000,27
97,263539625,508000,19
98,476248928,1190000,76
99,9294371004,15700000,125
100,118016949,389000,96
