rank,artist,avg views
26,Chencho Corleone,98109.52
20,Cole Swindell,189768.01
7,Jelly Roll,331317.64
5,Armani White,372098.5
13,HARDY,429338.05
41,Joji,489347.72
33,Quavo,960880.0
35,Lizzo,1060662.1
6,Jackson Dean,1082673.19
21,Tems,1412448.3
43,Nicky Youre,1857201.16
44,JVKE,1999663.64
34,Bailey Zimmerman,2055080.28
50,Bebe Rexha,2625030.59
92,Nicki Minaj,3478077.06
57,Lil Nas X,3762244.9
11,Thomas Rhett,4128779.32
54,Tiësto,4606960.24
45,Robin Schulz,5021800.77
22,Future,5230860.3
29,Manuel Turizo,5564142.19
8,Jax,5773250.95
9,Jordan Davis,5954990.74
10,Riley Green,6050618.05
98,Sam Smith,6266433.26
38,Imagine Dragons,7430216.23
55,Meghan Trainor,8131315.42
32,ThxSoMch,8351642.32
49,Latto,8902766.81
12,Lainey Wilson,9240765.73
3,Lil Pump,9370671.47
14,Lana Del Rey,11236720.76
46,Oliver Tree,11516657.13
47,Pharrell Williams,11683255.76
85,Kodak Black,11693313.27
36,Glass Animals,12460481.26
86,Trippie Redd,13533586.5
97,Metro Boomin,13870506.58
2,Lil Skies,13921936.43
17,Sia,14655426.64
40,Omar Apollo,14817165.2
87,Playboi Carti,16038803.91
79,Billie Eilish,16152706.36
37,The 1975,16910753.89
68,Harry Styles,20897232.95
76,Polo G,23218411.8
52,OneRepublic,24362031.06
71,Doja Cat,30405330.64
51,David Guetta,30689827.04
42,Noah Kahan,31856293.03
67,YoungBoy Never Broke Again,33506895.35
64,Lil Baby,33851637.12
88,Luke Combs,37792740.39
19,Brenda Lee,38242726.98
73,Eminem,38432029.54
27,Cardi B,44153629.6
89,Rihanna,48300425.65
77,Justin Bieber,51068066.83
30,Selena Gomez,55856319.51
56,d4vd,59189896.44
24,Chris Brown,63255185.77
31,Rema,63938797.53
91,Zach Bryan,69843010.44
4,Nate Smith,70104805.9
99,Kim Petras,74354968.03
18,Kane Brown,78234662.15
75,Lil Uzi Vert,78375030.34
53,Tate McRae,86185221.96
1,blackbear,87356017.72
65,Kendrick Lamar,93404900.54
83,Bruno Mars,111216523.42
16,Elton John,115468726.12
78,Mac Miller,117770225.38
28,GloRilla,121418103.27
59,Drake,134360647.82
15,Britney Spears,151082689.2
82,Ed Sheeran,156167027.49
58,Taylor Swift,160131276.78
63,Juice WRLD,163225422.02
94,Olivia Rodrigo,174561257.44
39,Sabrina Carpenter,175354699.97
74,XXXTENTACION,177738925.25
23,Mariah Carey,179884764.92
48,Stephen Sanchez,181922203.55
84,Jack Harlow,184681368.52
70,21 Savage,205798747.42
96,Yeat,212088766.81
61,Kanye West,217631234.22
72,J. Cole,237065888.84
60,Bad Bunny,242440489.12
66,Morgan Wallen,244246038.81
93,SZA,249002585.36
80,Travis Scott,252112526.22
90,Beyoncé,257809176.44
95,Khalid,262227708.91
69,Post Malone,351728373.57
62,The Weeknd,539656756.55
81,Ariana Grande,574263062.85
25,Isabel LaRosa,624901859.0
